order_item_id,order_id,store_id,product_id,quantity,unit_price
117,19,6,63,2,137.90
118,47,3,58,5,247.02
119,82,1,19,3,156.09
120,20,6,79,3,303.73
121,14,1,3,4,351.00
122,65,1,96,1,209.32
123,62,4,73,4,175.07
124,88,2,92,1,190.73
125,68,8,37,5,434.03
126,100,10,13,1,363.28
127,32,6,23,3,315.94
128,80,10,93,3,180.02
129,38,7,28,2,390.70
130,43,7,31,2,423.52
131,66,7,24,4,130.48
132,85,9,88,4,251.61
133,77,10,99,1,145.97
134,54,7,86,5,112.42
135,93,7,82,1,239.56
136,79,6,14,1,219.52
137,53,8,9,5,408.65
138,83,6,14,1,219.52
139,57,1,3,4,351.00
140,65,2,32,1,196.04
141,37,10,20,4,418.32
142,99,5,16,2,359.60
143,43,3,45,2,327.82
144,64,6,100,3,196.12
145,84,5,16,2,359.60
146,48,6,5,4,467.39
147,42,2,29,5,407.80
148,61,3,97,4,330.39
149,49,10,13,5,363.28
150,31,1,19,4,156.09
151,64,5,65,3,222.82
152,40,2,54,2,428.51
153,3,3,58,5,247.02
154,2,2,92,1,190.73
155,16,3,35,1,328.80
156,63,7,69,5,103.91
157,40,9,71,3,431.45
158,87,2,1,1,131.20
159,60,10,93,1,180.02
160,31,1,4,2,411.37
161,39,8,37,5,434.03
162,98,7,25,4,30.73
163,29,3,58,2,247.02
164,92,3,33,1,293.25
165,54,4,30,2,37.28
166,28,8,98,4,170.90
167,76,3,8,3,198.85
168,4,7,36,1,130.37
169,91,1,3,4,351.00
170,39,6,63,5,137.90
171,97,10,93,1,180.02
172,53,8,87,2,452.51
173,80,9,62,5,169.15
174,67,8,37,1,434.03
175,32,1,3,4,351.00
176,87,2,40,3,73.66
177,60,2,7,5,191.86
178,63,5,57,4,174.19
179,43,1,95,1,362.86
180,27,2,1,1,131.20
181,12,2,29,2,407.80
182,100,7,38,1,151.93
183,64,5,49,1,383.63
184,9,1,68,5,450.72
185,40,4,21,3,71.66
186,57,6,100,4,196.12
187,49,5,12,4,340.70
188,79,2,1,5,131.20
189,50,10,99,5,145.97
190,97,10,93,5,180.02
191,56,1,96,1,209.32
192,23,4,43,3,495.89
193,51,7,25,2,30.73
194,7,3,97,2,330.39
195,58,3,45,2,327.82
196,32,7,42,2,389.98
197,28,7,82,3,239.56
198,98,4,73,2,175.07
199,8,9,88,4,251.61
200,24,4,74,1,480.20
